ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
11680,CS,8999,004,Independent Study,"1 - 12","David Evans","TBA","TBA","Thesis","",Open,1,30,0
11682,CS,8999,006,Independent Study,"1 - 12","Andrew Grimshaw","TBA","TBA","Thesis","",Open,1,30,0
11683,CS,8999,007,Independent Study,"1 - 12","Sudhanva Gurumurthi","TBA","TBA","Thesis","",Open,0,30,0
11684,CS,8999,008,Independent Study,"1 - 12","Yanjun Qi","TBA","TBA","Thesis","",Open,3,30,0
11685,CS,8999,009,Independent Study,"1 - 12","Thomas Horton","TBA","TBA","Thesis","",Open,0,30,0
11686,CS,8999,010,Independent Study,"1 - 12","Marty Humphrey","TBA","TBA","Thesis","",Open,0,30,0
11687,CS,8999,011,Independent Study,"1 - 12","John Knight","TBA","TBA","Thesis","",Open,0,30,0
11688,CS,8999,012,Independent Study,"1 - 12","Jason Lawrence","TBA","TBA","Thesis","",Open,0,30,0
11689,CS,8999,013,Independent Study,"1 - 12","Worthy Martin","TBA","TBA","Thesis","",Open,0,30,0
11690,CS,8999,014,Independent Study,"1 - 12","Paul Reynolds","TBA","TBA","Thesis","",Open,0,30,0
11691,CS,8999,015,Independent Study,"1 - 12","Gabriel Robins","TBA","TBA","Thesis","",Open,0,30,0
11692,CS,8999,016,Independent Study,"1 - 12","Abhi Shelat","TBA","TBA","Thesis","",Open,1,30,0
11693,CS,8999,017,Independent Study,"1 - 12","Kevin Skadron","TBA","TBA","Thesis","",Open,3,30,0
11694,CS,8999,018,Independent Study,"1 - 12","Mary Soffa","TBA","TBA","Thesis","",Open,1,30,0
11695,CS,8999,019,Independent Study,"1 - 12","John Stankovic","TBA","TBA","Thesis","",Open,4,30,0
11696,CS,8999,020,Independent Study,"1 - 12","Kevin Sullivan","TBA","TBA","Thesis","",Open,2,30,0
11697,CS,8999,021,Independent Study,"1 - 12","Alfred Weaver","TBA","TBA","Thesis","",Open,0,30,0
11698,CS,8999,022,Independent Study,"1 - 12","Westley Weimer","TBA","TBA","Thesis","",Open,1,30,0
11699,CS,8999,023,Independent Study,"1 - 12","Michael Gorman","TBA","TBA","Thesis","",Open,0,30,0
11700,CS,8999,024,Independent Study,"1 - 12","Connelly Barnes","TBA","TBA","Thesis","",Open,2,30,0
11701,CS,9999,001,Independent Study,"1 - 12","Marty Humphrey","TBA","TBA","Dissertation","",Open,1,30,0
11702,CS,9999,002,Independent Study,"1 - 12","Cameron Whitehouse","TBA","TBA","Dissertation","",Open,3,30,0
11703,CS,9999,003,Independent Study,"1 - 12","Alfred Weaver","TBA","TBA","Dissertation","",Open,0,30,0
11704,CS,9999,004,Independent Study,"1 - 12","John Stankovic","TBA","TBA","Dissertation","",Open,3,30,0
11705,CS,9999,005,Independent Study,"1 - 12","Jason Lawrence","TBA","TBA","Dissertation","",Open,0,30,0
11706,CS,9999,006,Independent Study,"1 - 12","James Cohoon","TBA","TBA","Dissertation","",Open,0,30,0
11707,CS,9999,007,Independent Study,"1 - 12","Jack Davidson","TBA","TBA","Dissertation","",Open,4,30,0
11708,CS,9999,008,Independent Study,"1 - 12","David Evans","TBA","TBA","Dissertation","",Open,1,30,0
11709,CS,9999,009,Independent Study,"1 - 12","James French","TBA","TBA","Dissertation","",Open,0,30,0
11710,CS,9999,010,Independent Study,"1 - 12","Andrew Grimshaw","TBA","TBA","Dissertation","",Open,3,30,0
11711,CS,9999,011,Independent Study,"1 - 12","Sudhanva Gurumurthi","TBA","TBA","Dissertation","",Open,0,30,0
11712,CS,9999,012,Independent Study,"1 - 12","Yanjun Qi","TBA","TBA","Dissertation","",Open,0,30,0
11713,CS,9999,013,Independent Study,"1 - 12","John Knight","TBA","TBA","Dissertation","",Open,2,30,0
11714,CS,9999,014,Independent Study,"1 - 12","Worthy Martin","TBA","TBA","Dissertation","",Open,0,30,0
11715,CS,9999,015,Independent Study,"1 - 12","Paul Reynolds","TBA","TBA","Dissertation","",Open,0,30,0
11716,CS,9999,016,Independent Study,"1 - 12","Gabriel Robins","TBA","TBA","Dissertation","",Open,0,30,0
11717,CS,9999,017,Independent Study,"1 - 12","Abhi Shelat","TBA","TBA","Dissertation","",Open,1,30,0
11718,CS,9999,018,Independent Study,"1 - 12","Kevin Skadron","TBA","TBA","Dissertation","",Open,3,30,0
11719,CS,9999,019,Independent Study,"1 - 12","Mary Soffa","TBA","TBA","Dissertation","",Open,0,30,0
11720,CS,9999,020,Independent Study,"1 - 12","Sang Son","TBA","TBA","Dissertation","",Open,0,30,0
11721,CS,9999,021,Independent Study,"1 - 12","Kevin Sullivan","TBA","TBA","Dissertation","",Open,0,30,0
11722,CS,9999,022,Independent Study,"1 - 12","Westley Weimer","TBA","TBA","Dissertation","",Open,1,30,0
11723,CS,9999,023,Independent Study,"1 - 12","Michael Gorman","TBA","TBA","Dissertation","",Open,0,30,0
12263,DRAM,1010,001,Lecture,"3","Leonard Grissom","MoTuWeThFr 10:30AM - 12:45PM","Drama Education Bldg 217","Introduction to Theatre","",Open,9,15,0
10065,DRAM,1020,001,Lecture,"3","Richard Warner","MoTuWeThFr 10:30AM - 12:45PM","Drama Education Bldg B006","Oral Interpretation","",Closed,12,12,1
12264,DRAM,2010,001,Lecture,"3","Gweneth West","MoTuWeThFr 10:30AM - 12:45PM","Drama Education Bldg 206","Theatre Art: Image to Form","",Open,7,30,0
10842,DRAM,2020,001,Seminar,"3","Amy Barrick","MoTuWeThFr 10:30AM - 12:45PM","Drama Education Bldg 206","Acting I","",Open,11,12,0
11039,DRAM,2020,002,Seminar,"3","Michael Long","MoTuWeThFr 10:30AM - 12:45PM","Drama Education Bldg 206","Acting I","",Closed,12,12,1
10727,DRAM,2080,001,Lecture,"3","Lavahn Hoh","MoTuWeThFr 10:30AM - 12:45PM","Drama Education Bldg 217","Circus in America","",Open,13,20,0
10728,DRAM,2210,001,Lecture,"3","Steven Warner","MoTuWeThFr 8:00AM - 10:15AM","Drama Education Bldg 206","Scenic Technology","",Open,3,15,0
12265,DRAM,2620,001,Lecture,"3","Michael Rasbury","MoTuWeThFr 1:00PM - 3:15PM","Drama Education Bldg 217","Sound Design","",Closed,13,12,1
